preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
bridge_gpu_medium,53,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,8024,0.19812345679012347,3662,47,0.0058574277168494514,0,0.3703564309115714,0.370148223468043,0.9994378187439167,0.05029389999981504,38.52702080000017,3023.568896,597.700096,high_r50,1,0,0,1,1,116,6.704573187030935e-07,0.050650299999688286,37.4800283999939,3023.568896,597.700096,1322.01728,0.0,0.0,76.10799339999357
bridge_gpu_medium,53,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,10085,0.24901234567901234,3318,101,0.010014873574615765,0,0.2498798742959984,0.1867618410149636,0.7474064949853964,0.04946489999565529,36.90583350000088,3023.568896,597.700096,high_r50,1,0,0,1,1,80,4.139072569487561e-07,0.04816610000125365,25.657472799997777,3023.568896,597.700096,1322.01728,0.0,0.0,62.66093729999557
bridge_gpu_medium,53,0.3,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12085,0.2983950617283951,2662,491,0.04062887877534133,0,0.21030390155212,0.17087603611927804,0.812519572191244,0.05044639999687206,27.031822400000237,3023.568896,597.700096,high_r50,1,0,0,1,1,64,2.0615348468383933e-07,0.019409699998504948,10.42350240000087,3023.568896,597.700096,1322.01728,0.0,0.0,37.525180899996485
bridge_gpu_medium,53,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14174,0.3499753086419753,1839,8597,0.6065330887540568,1,0.16827643379450868,0.16646617743024053,0.9892423655324265,0.02376419999927748,19.026609699998517,3023.568896,597.700096,high_r50,1,0,0,1,1,54,4.4024732904430103e-07,0.016971899996860884,8.447675000003073,3023.568896,597.700096,1322.01728,0.0,0.0,27.51502079999773
bridge_gpu_medium,59,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,4070,0.10049382716049382,2895,9,0.0022113022113022115,0,0.5063509092676561,0.40447953205496684,0.7988126902743641,0.018142599998100195,19.11922980000236,3023.568896,597.700096,high_r50,1,0,0,1,1,190,6.642545075789198e-07,0.01672560000588419,31.68832690000272,3023.568896,597.700096,1322.01728,0.0,0.0,50.842424900009064
bridge_gpu_medium,59,0.15,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6091,0.15039506172839506,3531,23,0.0037760630438351665,0,0.5507992618293888,0.5464564114177911,0.9921153663184413,0.020675100000516977,18.55974029999925,3023.568896,597.700096,high_r50,1,0,0,1,1,161,6.75348587056026e-07,0.017997500006458722,26.767047299996193,3023.568896,597.700096,1322.01728,0.0,0.0,45.36546020000242
bridge_gpu_medium,59,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,8133,0.2008148148148148,3566,40,0.004918234353866961,0,0.3977720111111793,0.3961371945407303,0.9958900663576552,0.01941890000307467,19.11721889999899,3023.568896,597.700096,high_r50,1,0,0,1,1,112,6.120776823780825e-07,0.01952259999961825,19.236159200001566,3023.568896,597.700096,1322.01728,0.0,0.0,38.39231960000325
bridge_gpu_medium,59,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,10111,0.24965432098765433,3239,98,0.009692414202353871,0,0.1747261095249474,0.1738079326846818,0.9947450507381983,0.04106550000142306,20.017065100000764,3023.568896,597.700096,high_r50,1,0,0,1,1,73,3.894398544867937e-07,0.0239478000003146,11.597434900002554,3023.568896,597.700096,1322.01728,0.0,0.0,31.679513300005055
bridge_gpu_medium,59,0.3,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12090,0.2985185185185185,2574,502,0.04152191894127378,0,0.09716588590750791,0.004894487679129873,0.050372490647478174,0.020401699999638367,18.367653200002678,3023.568896,597.700096,high_r50,1,0,0,1,1,54,8.439226514102798e-07,0.018369400000665337,8.780844199995045,3023.568896,597.700096,1322.01728,0.0,0.0,27.187268499998027
bridge_gpu_medium,59,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14155,0.3495061728395062,1816,8411,0.5942069939950547,0,0.05906354927597183,0.0003658372210374501,0.006193959311996166,0.018473700001777615,18.70882979999442,3023.568896,597.700096,high_r50,1,0,0,1,1,45,2.751523396654687e-07,0.016262599994661286,7.0837602999963565,3023.568896,597.700096,1322.01728,0.0,0.0,25.827326399987214
