label,artifact_id,preset,n_elem,rho_min,reference_rho_min,penal,solid_threshold,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_linf_solid,pearson_dc_solid
Large bracket,Brk500_MF,bracket_gpu_500k,512000,0.001,1e-12,4.5,0.5,153591,0.299982421875,stored_density_derivative,0.4003099000547081,32.035815500072204,1,1,12,9.234124965309974e-07,0.8203712416411671,0.8204433436839833,-8.78818060640272e-05,0.001000035320792791,0.0009999839375031687,0.0009999838810501285,0.9999999999988086
Large bracket,Brk500_MF,bracket_gpu_500k,512000,0.01,1e-12,4.5,0.5,153591,0.299982421875,stored_density_derivative,0.37824680004268885,7.843977599986829,1,1,4,2.4256125779727524e-07,0.8197690358106781,0.8204433436839833,-0.0008218823133812578,0.009999822756607551,0.009999817618645403,0.009999820674434596,0.9999999999163578
Large MBB beam,M500_MF,mbb_gpu_xlarge,514500,1e-12,1e-12,4.5,0.5,257157,0.49981924198250727,stored_density_derivative,1.212422899901867,802.9071918999543,1,1,247,9.422482319127202e-07,7.503671255823112,7.503671255823112,0.0,0.0,0.0,0.0,1.0000000000000002
Large MBB beam,M500_MF,mbb_gpu_xlarge,514500,0.001,1e-12,4.5,0.5,257157,0.49981924198250727,stored_density_derivative,0.4237577000167221,595.5462747000856,1,1,211,9.076170383740031e-07,7.338522107681945,7.503671255823112,-0.022009112940949392,0.00443096796610071,0.004373869286697153,0.003365590933250931,0.9999911139133927
Large MBB beam,M500_MF,mbb_gpu_xlarge,514500,0.01,1e-12,4.5,0.5,257157,0.49981924198250727,stored_density_derivative,0.4167017999570817,296.86082239996176,1,1,152,8.269371117144218e-07,6.752905754502418,7.503671255823112,-0.10005309077714104,0.018037467293809364,0.017931874774323914,0.010767728324331167,0.9998916976659032
Large torsion,T500_MF,torsion_gpu_500k,499125,1e-12,1e-12,4.5,0.5,124780,0.24999749561733034,stored_density_derivative,0.795535400044173,262.3282265000744,1,1,87,9.923020170523714e-07,2.0356521044099107,2.0356521044099107,0.0,0.0,0.0,0.0,1.0
Large torsion,T500_MF,torsion_gpu_500k,499125,0.001,1e-12,4.5,0.5,124780,0.24999749561733034,stored_density_derivative,0.3627892000367865,185.13688190001994,1,1,70,9.56531895336972e-07,2.0348365580923824,2.0356521044099107,-0.00040063148106770713,0.0010027002236463348,0.0010027002236463309,0.0010075242394009592,0.9999999997935245
Large torsion,T500_MF,torsion_gpu_500k,499125,0.01,1e-12,4.5,0.5,124780,0.24999749561733034,stored_density_derivative,0.37418959999922663,107.67283160006627,1,1,56,7.482947657753073e-07,2.0287894327165663,2.0356521044099107,-0.0033712399473748767,0.010012522248122975,0.010012522248122975,0.010036375934422827,0.9999999961098047
Large column,Col500_MF,column_gpu_500k,500000,1e-12,1e-12,4.5,0.5,99995,0.19999,stored_density_derivative,0.8812888000393286,494.7867850000039,1,1,158,9.78687134401821e-07,0.24853079146461254,0.24853079146461254,0.0,0.0,0.0,0.0,1.0
Large column,Col500_MF,column_gpu_500k,500000,0.001,1e-12,4.5,0.5,99995,0.19999,stored_density_derivative,0.39801360003184527,285.49623879999854,1,1,106,7.374187330802484e-07,0.2468773779568088,0.24853079146461254,-0.0066527511462866765,0.04417102443949282,0.04417102443949283,0.12756666215897455,0.9973077903336492
Large column,Col500_MF,column_gpu_500k,500000,0.01,1e-12,4.5,0.5,99995,0.19999,stored_density_derivative,0.3654009999008849,105.72441130003426,1,1,55,9.975899686053372e-07,0.2341632859330051,0.24853079146461254,-0.05780976050065489,0.14592342480282727,0.14592342480282727,0.2560321023643975,0.9946872285724221
