run_id,preset,rho_min,iteration,max_iter,compliance,grayness,used_surrogate,uncertainty,beta,change,penal,rmin,move,emin,cg_iters,solver_true_rel_residual,selected_rho_min,policy_trigger,policy_fallback_used,policy_attempted_rho_mins,policy_probe_r50,policy_probe_r100,policy_probe_true_rel_residual,vram_used_gb
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,26,40,2.9992615890841288,0.042663106132674905,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,58,8.973939448568329e-07,0.001,high_r50,0,1e-12;1e-03,0.10095459601522778,0.05964397609784626,0.0596439760977844,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,27,40,2.9910822424130012,0.04077343085371568,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,56,8.552354862108887e-07,0.001,high_r50,0,1e-12;1e-03,0.1020456916531619,0.06697313916748969,0.06697313916741444,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,28,40,2.984456952008554,0.03942234738753976,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,59,9.266522838027257e-07,0.001,high_r50,0,1e-12;1e-03,0.10239128371313366,0.062089836398290875,0.06208983639818147,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,29,40,2.97971684218426,0.03847112820878118,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,59,5.588549629942772e-07,0.001,high_r50,0,1e-12;1e-03,0.08999946812118027,0.0494004650904312,0.04940046509052177,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,30,40,2.9763769363045323,0.03782596447944508,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,53,7.156598402279892e-07,0.001,high_r50,0,1e-12;1e-03,0.07909444026715655,0.051481923933145664,0.05148192393315668,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,31,40,2.9737176510644003,0.03734232285293479,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,53,9.525104008144859e-07,0.001,high_r50,0,1e-12;1e-03,0.07996832506946176,0.04084911332422113,0.04084911332441717,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,32,40,2.971485046837732,0.03697308816207189,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,52,7.491653293367196e-07,0.001,high_r50,0,1e-12;1e-03,0.07648270826831484,0.034178694249015804,0.03417869424903997,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,33,40,2.9694498586038653,0.03666792843015962,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,5.962974306456611e-07,0.001,high_r50,0,1e-12;1e-03,0.07536398775548842,0.03481913886272408,0.03481913886270899,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,34,40,2.967663172045886,0.036371009707186604,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,8.089938612649061e-07,0.001,high_r50,0,1e-12;1e-03,0.07310886290437975,0.035506781644009895,0.03550678164384364,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,35,40,2.9659473300569656,0.03607506689497993,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,5.818085397827683e-07,0.001,high_r50,0,1e-12;1e-03,0.06967650140038355,0.03468287201248867,0.034682872012391674,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,36,40,2.964548289227268,0.03580811370121822,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,53,5.115724301108409e-07,0.001,high_r50,0,1e-12;1e-03,0.07242305848404014,0.03599273811270405,0.03599273811268646,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,37,40,2.9635898900382776,0.03561278603794,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,8.784577556249628e-07,0.001,high_r50,0,1e-12;1e-03,0.07321292222936691,0.03639049205523919,0.03639049205526798,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,38,40,2.9630303385265697,0.035512619381781636,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,7.953317362768897e-07,0.001,high_r50,0,1e-12;1e-03,0.07605028203161635,0.038134295234856154,0.03813429523473819,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,39,40,2.9625315698893355,0.03544800747604968,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,55,7.172423926736713e-07,0.001,high_r50,0,1e-12;1e-03,0.07568328622863507,0.03805313894282562,0.038053138942712825,3.61669921875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,40,40,2.9620188207802873,0.035388170111706314,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,8.404614718987028e-07,0.001,high_r50,0,1e-12;1e-03,0.07467482963849974,0.037438674039895876,0.03743867403975881,3.61669921875
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,1,40,368.95474525835976,0.8175761953973182,False,0.0,1.0,0.2,1.5,1.5,0.2,1e-12,34,5.642016827904717e-07,1e-12,probe_converged_keep,0,1e-12,5.642016828220323e-07,5.642016828220323e-07,5.642016827904717e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,2,40,4.216399475961633,0.7722537937120435,False,0.0,1.0,0.19999999999999996,1.5,1.5,0.2,1e-12,32,3.6175762081867574e-07,1e-12,probe_converged_keep,0,1e-12,3.6175761481892316e-07,3.6175761481892316e-07,3.6175762081867574e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,3,40,2.8490099367285238,0.6954499127882227,False,0.0,1.0,0.20000000000000007,1.5,1.5,0.2,1e-12,34,3.951524755277826e-07,1e-12,probe_converged_keep,0,1e-12,3.9515248479692195e-07,3.9515248479692195e-07,3.951524755277826e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,4,40,2.250800569068355,0.620934807969452,False,0.0,1.0,0.2,1.5,1.5,0.2,1e-12,31,5.302801627167769e-07,1e-12,probe_converged_keep,0,1e-12,5.302802012549556e-07,5.302802012549556e-07,5.302801627167769e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,5,40,2.0532251173146716,0.57294585142475,False,0.0,1.0,0.14956791735185943,1.5,1.5,0.2,1e-12,31,6.414039235362938e-07,1e-12,probe_converged_keep,0,1e-12,6.414038844573248e-07,6.414038844573248e-07,6.414039235362938e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,6,40,2.0319511162628854,0.5540327709474535,False,0.0,1.0,0.12251800816491565,1.5,1.5,0.2,1e-12,29,6.16721561092993e-07,1e-12,probe_converged_keep,0,1e-12,6.167215417182018e-07,6.167215417182018e-07,6.16721561092993e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,7,40,2.0204508357374213,0.5394911864646226,False,0.0,1.0,0.11253817949839251,1.5,1.5,0.2,1e-12,28,7.181069145482398e-07,1e-12,probe_converged_keep,0,1e-12,7.181069474553853e-07,7.181069474553853e-07,7.181069145482398e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,8,40,2.012066213369062,0.5259846391306657,False,0.0,1.0,0.09044749598015811,1.5,1.5,0.2,1e-12,24,9.040838738275709e-07,1e-12,probe_converged_keep,0,1e-12,9.040838667589914e-07,9.040838667589914e-07,9.040838738275709e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,9,40,2.0048267395634016,0.5125291944688346,False,0.0,1.0,0.09558597357075904,1.5,1.5,0.2,1e-12,22,8.842046539875881e-07,1e-12,probe_converged_keep,0,1e-12,8.842046576346777e-07,8.842046576346777e-07,8.842046539875881e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,10,40,1.998048659231368,0.49871532967197213,False,0.0,1.0,0.10087631749258841,1.5,1.5,0.2,1e-12,25,7.906034225715529e-07,1e-12,probe_converged_keep,0,1e-12,7.906034423473935e-07,7.906034423473935e-07,7.906034225715529e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,11,40,1.9914621635628798,0.48439391565393203,False,0.0,1.0,0.09954403208835938,1.5,1.5,0.2,1e-12,19,8.28878320878189e-07,1e-12,probe_converged_keep,0,1e-12,8.288783113423599e-07,8.288783113423599e-07,8.28878320878189e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,12,40,1.9850199577915482,0.469867313928335,False,0.0,1.0,0.1002083323681221,1.5,1.5,0.2,1e-12,25,8.31861442771921e-07,1e-12,probe_converged_keep,0,1e-12,8.318614331909986e-07,8.318614331909986e-07,8.31861442771921e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,13,40,1.9786968129054472,0.4553972703175292,False,0.0,1.0,0.09746792426268602,1.5,1.5,0.2,1e-12,22,9.255137410435368e-07,1e-12,probe_converged_keep,0,1e-12,9.255137360231367e-07,9.255137360231367e-07,9.255137410435368e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,14,40,1.972634839387997,0.44177590992031074,False,0.0,1.0,0.0932729554871492,1.5,1.5,0.2,1e-12,29,6.999319121133691e-07,1e-12,probe_converged_keep,0,1e-12,6.999319277226613e-07,6.999319277226613e-07,6.999319121133691e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,15,40,1.967003232932025,0.4298646730347947,False,0.0,1.0,0.08983518718508521,1.5,1.5,0.2,1e-12,28,9.236998699757005e-07,1e-12,probe_converged_keep,0,1e-12,9.236998643371103e-07,9.236998643371103e-07,9.236998699757005e-07,3.61865234375
