case_id,preset,seed,solid_probability,rho_min,reference_rho_min,penal,n_elem,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_l2_void,rel_dc_linf_all,rel_dc_linf_solid,pearson_dc_solid,history_len,source_dir
cantilever_gpu_medium_s41_q0.3,cantilever_gpu_medium,41,0.3,0.01,1e-12,4.5,64000,19153,0.299265625,floor_substituted_density_derivative,0.0210515999999927,4.003031700000008,1,1,33,4.389992986814746e-07,14.405080575867377,23.58864850375621,-0.3893214961605986,0.6238147053809807,0.6238147053798438,2.807445886113994e+27,0.5744796101045947,0.5744796101045947,0.9349567911324124,34,cantilever_s41
cantilever_gpu_medium_s41_q0.35,cantilever_gpu_medium,41,0.35,1e-12,1e-12,4.5,64000,22287,0.348234375,floor_substituted_density_derivative,0.0236999999999909,4.751254999999986,1,1,27,6.817607796083984e-07,15.915376278463826,15.915376278463826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,cantilever_s41
cantilever_gpu_medium_s41_q0.35,cantilever_gpu_medium,41,0.35,0.001,1e-12,4.5,64000,22287,0.348234375,floor_substituted_density_derivative,0.0203597999999942,3.9991850000000113,1,1,27,9.6125805911933e-07,15.033116782543788,15.915376278463826,-0.0554344101253756,0.1460064367563722,0.1460064367563721,1.5622759047677658e+24,0.1257349844953572,0.1257349844953572,0.9984646130052988,28,cantilever_s41
cantilever_gpu_medium_s41_q0.35,cantilever_gpu_medium,41,0.35,0.01,1e-12,4.5,64000,22287,0.348234375,floor_substituted_density_derivative,0.0215564000000085,3.503287400000005,1,1,29,5.452321789049735e-07,11.194633653749914,15.915376278463826,-0.2966152067106241,0.5446694178257447,0.5446694178243423,1.2415927505699312e+27,0.4469045016355277,0.4469045016355277,0.9560826258580796,30,cantilever_s41
cantilever_gpu_medium_s43_q0.3,cantilever_gpu_medium,43,0.3,1e-12,1e-12,4.5,64000,19072,0.298,floor_substituted_density_derivative,16.2707896,16.244856900000002,1,1,90,8.414981588797134e-07,36.492257096467725,36.492257096467725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91,cantilever_s43
cantilever_gpu_medium_s43_q0.3,cantilever_gpu_medium,43,0.3,0.001,1e-12,4.5,64000,19072,0.298,floor_substituted_density_derivative,0.0260397999999995,7.910220899999999,1,1,53,6.508598676142709e-07,27.465855022488512,36.492257096467725,-0.2473511586339482,0.5525120980084419,0.5525120980084419,1.2801459558207385e+25,0.5702068469609236,0.5702068469609236,0.9583779391212944,54,cantilever_s43
cantilever_gpu_medium_s43_q0.3,cantilever_gpu_medium,43,0.3,0.01,1e-12,4.5,64000,19072,0.298,floor_substituted_density_derivative,0.0222441999999958,3.254798099999995,1,1,27,9.496504069322598e-07,15.20432479636147,36.492257096467725,-0.583354771502112,0.8504355223634862,0.850435522363001,2.653685124686053e+27,0.901557730438072,0.901557730438072,0.6871703579086833,28,cantilever_s43
cantilever_gpu_medium_s43_q0.35,cantilever_gpu_medium,43,0.35,1e-12,1e-12,4.5,64000,22217,0.347140625,floor_substituted_density_derivative,0.0206285000000008,11.3750548,1,1,65,9.91088486294288e-07,10.80657875312637,10.80657875312637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66,cantilever_s43
cantilever_gpu_medium_s43_q0.35,cantilever_gpu_medium,43,0.35,0.001,1e-12,4.5,64000,22217,0.347140625,floor_substituted_density_derivative,0.0210104000000015,5.951669299999999,1,1,40,9.670913760313865e-07,10.489242773786314,10.80657875312637,-0.0293650734973129,0.0346007627317079,0.0346007627317079,6.474746800548588e+22,0.0315500157471201,0.0315500157471201,0.9998168188863026,41,cantilever_s43
cantilever_gpu_medium_s43_q0.35,cantilever_gpu_medium,43,0.35,0.01,1e-12,4.5,64000,22217,0.347140625,floor_substituted_density_derivative,0.0208349000000112,3.483258300000003,1,1,29,2.423005438416632e-07,8.661428404677535,10.80657875312637,-0.1985041147114425,0.1947668672169469,0.1947668672162148,9.327171557491424e+25,0.1700742589691098,0.1700742589691098,0.9930053796663878,30,cantilever_s43
cantilever_gpu_medium_s47_q0.25,cantilever_gpu_medium,47,0.25,1e-12,1e-12,4.5,64000,15778,0.24653125,floor_substituted_density_derivative,15.8828448,31.178497499999995,1,1,167,4.82000844857136e-07,577575401366.765,577575401366.765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168,cantilever_s47
cantilever_gpu_medium_s47_q0.25,cantilever_gpu_medium,47,0.25,0.001,1e-12,4.5,64000,15778,0.24653125,floor_substituted_density_derivative,0.0268277999999995,7.819241299999994,1,1,51,9.364631736523044e-07,608.759874598038,577575401366.765,-0.999999998946008,0.6222818695277774,0.6222818694957992,31586289816154.414,0.9993747513754864,0.9993747513754864,0.7982566799704872,52,cantilever_s47
cantilever_gpu_medium_s47_q0.25,cantilever_gpu_medium,47,0.25,0.01,1e-12,4.5,64000,15778,0.24653125,floor_substituted_density_derivative,0.022957599999998,5.845907199999999,1,1,42,7.90277462819497e-07,74.24297322340333,577575401366.765,-0.9999999998714576,0.8159967267155497,0.8159967028213707,988708277330567.8,0.9992129844525258,0.9992129844525258,0.7048605106272388,43,cantilever_s47
cantilever_gpu_medium_s47_q0.3,cantilever_gpu_medium,47,0.3,1e-12,1e-12,4.5,64000,18973,0.296453125,floor_substituted_density_derivative,0.0220336000000003,11.2591089,1,1,58,6.562531661743876e-07,574764525539.4071,574764525539.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,59,cantilever_s47
cantilever_gpu_medium_s47_q0.3,cantilever_gpu_medium,47,0.3,0.001,1e-12,4.5,64000,18973,0.296453125,floor_substituted_density_derivative,0.0261205000000046,5.898190099999994,1,1,37,2.857251468133213e-07,590.8904430704254,574764525539.4071,-0.9999999989719434,0.6627768528384369,0.6627768527689827,31591798422965.13,1.0003445081316111,1.0003445081316111,0.7510909363277036,38,cantilever_s47
cantilever_gpu_medium_s47_q0.3,cantilever_gpu_medium,47,0.3,0.01,1e-12,4.5,64000,18973,0.296453125,floor_substituted_density_derivative,0.0259348000000017,4.5860105,1,1,35,5.790504364695522e-07,68.63350849462023,574764525539.4071,-0.9999999998805884,0.7673355965567218,0.7673355376633,989844871082290.8,1.0006305863162568,1.0006305863162568,0.7155572718910423,36,cantilever_s47
cantilever_gpu_medium_s53_q0.18,cantilever_gpu_medium,53,0.18,1e-12,1e-12,4.5,64000,11441,0.178765625,floor_substituted_density_derivative,16.0830116,53.6266373,1,1,284,9.898251659706004e-07,365.7509992639028,365.7509992639028,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,285,cantilever_s53
cantilever_gpu_medium_s53_q0.18,cantilever_gpu_medium,53,0.18,0.001,1e-12,4.5,64000,11441,0.178765625,floor_substituted_density_derivative,0.0364651000000009,12.9966194,1,1,85,8.341485715984812e-07,115.67176962690898,365.7509992639028,-0.6837417536528791,0.8401117505972863,0.8401117505972862,2.3199460535139972e+26,0.7562311529047543,0.7562311529047543,0.76060961183268,86,cantilever_s53
cantilever_gpu_medium_s53_q0.18,cantilever_gpu_medium,53,0.18,0.01,1e-12,4.5,64000,11441,0.178765625,floor_substituted_density_derivative,0.0198818000000073,5.914792599999998,1,1,48,4.834013040029199e-07,32.340741835915274,365.7509992639028,-0.9115771606885475,0.9691991499858889,0.96919914998585,2.9770334804929287e+28,0.9726143206527788,0.9726143206527788,0.345468404882382,49,cantilever_s53
cantilever_gpu_medium_s53_q0.2,cantilever_gpu_medium,53,0.2,1e-12,1e-12,4.5,64000,12683,0.198171875,floor_substituted_density_derivative,0.0215559000000098,31.239047199999987,1,1,169,9.322468733857628e-07,140.15386748009976,140.15386748009976,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,170,cantilever_s53
cantilever_gpu_medium_s53_q0.2,cantilever_gpu_medium,53,0.2,0.001,1e-12,4.5,64000,12683,0.198171875,floor_substituted_density_derivative,0.0229113999999981,10.46926049999999,1,1,71,8.008009953713992e-07,76.138479154748,140.15386748009976,-0.4567507802411604,0.674336806927018,0.674336806927018,2.5605021138403064e+25,0.6833409217507436,0.6833409217507436,0.8897966036863402,72,cantilever_s53
