preset,seed,solid_probability,rho_min,penal,lambda_min,lambda_max,kappa,kappa_times_eps,rel_residual,converged,n_free,eig_time_s
cantilever_3d,13,0.2,1e-05,4.5,1.0885671589144526e-07,5.505837879791322,50578761.58308768,1.1230741133314056e-08,6.043198729007782e-11,1,6552,0.48109320004004985
cantilever_3d,13,0.2,0.0001,4.5,3.936205741454403e-07,5.50606707040372,13988260.350357762,3.106017743083669e-09,1.2895908029528245e-11,1,6552,0.4641152999829501
cantilever_3d,13,0.2,0.001,4.5,1.0656781377392652e-06,5.508359662667679,5168877.419549152,1.1477213445297068e-09,4.398001103886949e-12,1,6552,0.4715678000357002
cantilever_3d,13,0.2,0.01,4.5,4.796446954251332e-06,5.5313545723604225,1153219.169339026,2.5606609484785683e-10,9.170629183711555e-13,1,6552,0.48065450007561594
cantilever_3d,13,0.35,1e-12,4.5,1.882391956088102e-13,6.713566392789537,35665082243239.89,0.007919239096318951,4.853944431291767e-09,1,6552,0.6231650999980047
cantilever_3d,13,0.35,1e-10,4.5,1.882391941407429e-11,6.713566392971957,356650825223.5903,7.919239158295849e-05,6.034881822525046e-11,1,6552,0.5350473000435159
cantilever_3d,13,0.35,1e-08,4.5,1.8823908031010286e-09,6.71356641121353,3566510418.640847,7.919243968681149e-07,7.543100072987494e-13,1,6552,0.5284466000739485
cantilever_3d,13,0.35,1e-06,4.5,1.88227589218249e-07,6.713568235372887,35667291.193898976,7.919729581895346e-09,4.7575674829734e-13,1,6552,0.537430900032632
cantilever_3d,13,0.35,1e-05,4.5,1.8811140270154378e-06,6.713584818697277,3568940.916010819,7.924640756964016e-10,4.70002531477833e-13,1,6552,0.5497133999597281
cantilever_3d,13,0.35,0.0001,4.5,1.1657651061381311e-05,6.7137506576371395,575909.3853716385,1.2787757194746307e-10,4.5155601722861086e-13,1,6552,0.5256692999973893
cantilever_3d,13,0.35,0.001,4.5,1.2445816165835169e-05,6.7154096169213755,539571.654236365,1.1980897479365926e-10,4.471191308198498e-13,1,6552,0.46712180005852133
cantilever_3d,13,0.35,0.01,4.5,1.6764705845798708e-05,6.732056497092051,401561.2656143995,8.91645125765449e-11,3.3704741508411605e-13,1,6552,0.45761909999419004
cantilever_3d,19,0.1,1e-12,4.5,2.633760392299225e-16,4.304387154357183,1.6343123569412978e+16,3.628902416211272,0.012793393708149399,0,6552,0.4831251000287011
cantilever_3d,19,0.1,1e-10,4.5,2.564715841756078e-14,4.304387154659227,167830957511144.2,0.03726595865475173,0.0001380611528234291,0,6552,0.5134536999976262
cantilever_3d,19,0.1,1e-08,4.5,2.5620930869644056e-12,4.304387184863446,1680027633173.6753,0.00037304107207118415,1.2382246877413469e-06,0,6552,0.5133430999703705
cantilever_3d,19,0.1,1e-06,4.5,2.5614396474346817e-10,4.304390205286708,16804573980.876795,3.7313649905172485e-06,1.3499363132833542e-08,1,6552,0.5132217999780551
cantilever_3d,19,0.1,1e-05,4.5,2.5559184255557052e-09,4.304417663752906,1684098217.1866632,3.739449232901622e-07,1.2640117257434602e-09,1,6552,0.49119259999133646
cantilever_3d,19,0.1,0.0001,4.5,2.51361621199646e-08,4.304692255626437,171254952.72834033,3.802623832001924e-08,1.243185403091623e-10,1,6552,0.48816109995823354
cantilever_3d,19,0.1,0.001,4.5,2.3826257152163463e-07,4.307438896006112,18078537.759821795,4.014241774501891e-09,1.2483300936895224e-11,1,6552,0.47604059998411685
cantilever_3d,19,0.1,0.01,4.5,2.1902020641004857e-06,4.334977957439944,1979259.3699432549,4.394838648432164e-10,1.407260055024402e-12,1,6552,0.4792822999879718
cantilever_3d,19,0.12,1e-12,4.5,2.928112961216748e-16,4.71880554082499,1.611551741113204e+16,3.578363696717277,0.011348292358024738,0,6552,0.4905546000227332
cantilever_3d,19,0.12,1e-10,4.5,3.0191299836480136e-14,4.718805541095534,156296865873717.8,0.03470487583395028,0.00012036330111752204,0,6552,0.48449030006304383
cantilever_3d,19,0.12,1e-08,4.5,3.0178373052461386e-12,4.718805568149863,1563638159004.397,0.0003471974172618346,1.3519622945163887e-06,0,6552,0.47505430004093796
cantilever_3d,19,0.12,1e-06,4.5,3.0173577511140415e-10,4.718808273583461,15638875674.723108,3.472527970665575e-06,1.3156540324192787e-08,1,6552,0.48087650001980364
cantilever_3d,19,0.12,1e-05,4.5,3.013359799290166e-09,4.718832868523638,1565970605.1813717,3.4771532435170986e-07,1.300893563511177e-09,1,6552,0.4835539000341669
cantilever_3d,19,0.12,0.0001,4.5,2.9813810086865946e-08,4.71907882677519,158284996.55111554,3.5146329524752394e-08,1.2658198855170266e-10,1,6552,0.4773451999062672
cantilever_3d,19,0.12,0.001,4.5,2.82219485223512e-07,4.7215392949061705,16730025.891609889,3.7148119894880624e-09,1.3378345500824098e-11,1,6552,0.4486655000364408
cantilever_3d,19,0.12,0.01,4.5,2.477280154497551e-06,4.746233191918115,1915904.9021166358,4.254163470644192e-10,1.4707861162378775e-12,1,6552,0.4750347000081092
cantilever_3d,19,0.15,1e-12,4.5,1.086278752123174e-15,5.029102354745041,4629660982427821.0,1.0279912437800178,0.0049559819941953544,0,6552,0.4965595999965444
cantilever_3d,19,0.15,1e-10,4.5,1.1202030291210489e-13,5.029102355007269,44894561291744.42,0.009968595125307993,5.150441294604517e-05,0,6552,0.5071526999818161
cantilever_3d,19,0.15,1e-08,4.5,1.1201111385219059e-11,5.0291023812292615,448982445426.4105,9.969412971298175e-05,4.8542207359113e-07,1,6552,0.5018736000638455
cantilever_3d,19,0.15,1e-06,4.5,1.109156451820111e-09,5.029105003429994,4534170986.58832,1.006788205379543e-06,5.105299571818131e-09,1,6552,0.5188156000804156
cantilever_3d,19,0.15,1e-05,4.5,1.0279580336399362e-08,5.029128841703414,489234840.05427516,1.0863195677541241e-07,5.62826231167938e-10,1,6552,0.4951926999492571
cantilever_3d,19,0.15,0.0001,4.5,7.513734575639439e-08,5.029367232846887,66935652.067785144,1.4862700418790707e-08,6.58425153185812e-11,1,6552,0.47939180000685155
cantilever_3d,19,0.15,0.001,4.5,4.87404616757924e-07,5.031751985797502,10323562.421848353,2.292291339378217e-09,8.898852240349498e-12,1,6552,0.4639982000226155
cantilever_3d,19,0.15,0.01,4.5,3.2328245183433694e-06,5.055684250852787,1563859.783346213,3.472466277512549e-10,1.2635125601916218e-12,1,6552,0.4740465999348089
cantilever_3d,19,0.18,1e-12,4.5,6.058014534925851e-14,5.39392418724109,89037821816766.42,0.019770367968689233,3.5365807519509056e-05,0,6552,0.4852974000386894
cantilever_3d,19,0.18,1e-10,4.5,6.05899947594079e-12,5.393924187492722,890233479786.7266,0.00019767154131027954,3.523255232535126e-07,1,6552,0.48507559997960925
cantilever_3d,19,0.18,1e-08,4.5,6.053198081845518e-10,5.393924212655377,8910866850.421753,1.978609909341456e-06,3.6203066271443136e-09,1,6552,0.46892999997362494
cantilever_3d,19,0.18,1e-06,4.5,5.197624249876293e-08,5.393926728922309,103776773.18730164,2.3043072602768974e-08,6.469925387539659e-11,1,6552,0.47791980009060353
cantilever_3d,19,0.18,1e-05,4.5,1.3910541395987366e-07,5.393949604157523,38775986.14323855,8.609998523753893e-09,3.812042144714363e-11,1,6552,0.49116940004751086
cantilever_3d,19,0.18,0.0001,4.5,2.716533058986792e-07,5.394178364559924,19856847.855081268,4.409105937037975e-09,1.9543690029221285e-11,1,6552,0.4705337999621406
cantilever_3d,19,0.18,0.001,4.5,8.149024950335557e-07,5.396466774191602,6622223.894368354,1.4704290883501235e-09,5.7511433731286505e-12,1,6552,0.44713149999734014
cantilever_3d,19,0.18,0.01,4.5,3.959808478153701e-06,5.4194320126783255,1368609.6291215548,3.0389238439488926e-10,1.0862776445663482e-12,1,6552,0.4672320999670774
cantilever_3d,19,0.2,1e-12,4.5,6.707627941348462e-14,5.558518632196817,82868618844106.1,0.018400529731922542,3.132366532708276e-05,0,6552,0.5466314000077546
cantilever_3d,19,0.2,1e-10,4.5,6.709920718856369e-12,5.558518632442352,828403026703.6807,0.00018394242278311893,3.6584932385852114e-07,1,6552,0.4751246999949217
cantilever_3d,19,0.2,1e-08,4.5,6.707571363953099e-10,5.558518656997128,8286931819.866948,1.8400685019830272e-06,3.5907619794387388e-09,1,6552,0.4750141999684274
cantilever_3d,19,0.2,1e-06,4.5,6.432286637667713e-08,5.5585211124754315,86415942.34816158,1.918819377792182e-08,4.6653239523847877e-11,1,6552,0.4771203000564128
cantilever_3d,19,0.2,1e-05,4.5,2.6709036452589696e-07,5.55854343508323,20811471.222295914,4.621074905463355e-09,2.3345171187450155e-11,1,6552,0.46223389997612685
cantilever_3d,19,0.2,0.0001,4.5,3.893768503590806e-07,5.558766668867343,14276058.434755657,3.1699217550319807e-09,1.551825465583085e-11,1,6552,0.47642940003424883
cantilever_3d,19,0.2,0.001,4.5,9.807199675510164e-07,5.560999777876013,5670323.804829367,1.2590648090403372e-09,4.919639606499172e-12,1,6552,0.46604100009426475
cantilever_3d,19,0.2,0.01,4.5,4.3773639765386405e-06,5.583408535446166,1275518.4547987243,2.8322199137036913e-10,9.766848691782558e-13,1,6552,0.4788854999933392
cantilever_3d,19,0.35,1e-12,4.5,1.9752884653640344e-13,6.419891788657056,32501034158947.04,0.0072166792894783425,5.275980016745354e-13,1,6552,0.6250616000033915
cantilever_3d,19,0.35,1e-10,4.5,1.975288471521877e-11,6.419891788827918,325010340584.9203,7.21667926717285e-05,5.182092983911616e-13,1,6552,0.6183584000682458
cantilever_3d,19,0.35,1e-08,4.5,1.9752880081778954e-09,6.419891805915046,3250104176.8775153,7.21668097919962e-07,5.062001300009528e-13,1,6552,0.6193581999978051
cantilever_3d,19,0.35,1e-06,4.5,1.9752413933048546e-07,6.419893514627065,32501817.430454344,7.216853210690731e-09,5.416002433901567e-13,1,6552,0.6293993000872433
cantilever_3d,19,0.35,1e-05,4.5,1.9673680591825693e-06,6.419909048444565,3263196.745763984,7.245752322058117e-10,5.628034366676637e-13,1,6552,0.6344256999436766
cantilever_3d,19,0.35,0.0001,4.5,8.833037106578311e-06,6.4200643937356805,726824.1168096537,1.6138737386698436e-10,5.033317038005625e-13,1,6552,0.5487925000488758
cantilever_3d,19,0.35,0.001,4.5,9.69762286940688e-06,6.421618558801955,662184.8101621125,1.4703456455980312e-10,5.254016571862684e-13,1,6552,0.47847059997729957
