preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,severity_jump_triggered,severity_jump_r50_threshold,severity_jump_rho_min,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s,source_dir,case_key
bridge_gpu_medium,59,0.25,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,10111,0.2496543209876543,3239,98,0.0096924142023538,0,0.1746194106468926,0.1737033153825101,0.9947537604153583,0.0216349000000093,17.997837900000007,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,72,6.6256981469531e-07,0.022356000000002,11.6643579,3025.666048,597.700096,1322.01728,0.0,0.0,29.706186700000018,bridge_s59,bridge_gpu_medium|59|250000
bridge_gpu_medium,59,0.3,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,12090,0.2985185185185185,2574,502,0.0415219189412737,0,0.097157227316818,0.0048900971258715,0.0503317896251352,0.0185529999999971,18.118762800000013,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,54,7.138465520812631e-07,0.0165262000000154,8.431074999999993,3025.666048,597.700096,1322.01728,0.0,0.0,26.58491700000002,bridge_s59,bridge_gpu_medium|59|300000
bridge_gpu_medium,59,0.35,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,14155,0.3495061728395062,1816,8411,0.5942069939950547,0,0.0590843164380111,0.0003691270309899,0.0062474621565134,0.016626599999995,18.3602425,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,45,1.45748445532877e-07,0.0172847999999987,7.243222100000025,3025.666048,597.700096,1322.01728,0.0,0.0,25.637376000000017,bridge_s59,bridge_gpu_medium|59|350000
cantilever_gpu_medium,41,0.08,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,5173,0.080828125,3950,7,0.0013531799729364,0,0.0605835182579599,0.0235676572543658,0.3890110368634682,15.7738792,20.7247968,3285.712896,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,124,9.777436906224691e-07,0.0401741000000015,24.4808295,3575.119872,991.028736,1888.60416,0.0,0.0,61.0196796,cantilever_s41,cantilever_gpu_medium|41|80000
cantilever_gpu_medium,41,0.1,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,6384,0.09975,4532,11,0.0017230576441102,0,0.0917791825559349,0.0588816962175782,0.6415582987099787,0.0312564999999978,19.314943099999997,3575.119872,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,125,9.237007498150094e-07,0.021152200000003,19.404845300000005,3575.119872,991.028736,1888.60416,0.0,0.0,38.7721971,cantilever_s41,cantilever_gpu_medium|41|100000
cantilever_gpu_medium,41,0.12,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,7672,0.119875,5038,12,0.0015641293013555,0,0.1362097152754878,0.0900476768065275,0.6610958449212211,0.0201332999999976,17.5018843,3575.119872,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,120,7.588255545041779e-07,0.0197117000000019,17.876485499999987,3575.119872,991.028736,1888.60416,0.0,0.0,35.41821479999999,cantilever_s41,cantilever_gpu_medium|41|120000
cantilever_gpu_medium,41,0.15,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,9542,0.14909375,5540,19,0.001991196814085,0,0.145098023572739,0.1450654225428408,0.9997753172021546,0.0230563000000074,17.455865000000017,3575.119872,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,101,8.748075825760821e-07,0.0194618000000161,15.264756599999998,3575.119872,991.028736,1888.60416,0.0,0.0,32.76313970000004,cantilever_s41,cantilever_gpu_medium|41|150000
cantilever_gpu_medium,41,0.18,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,11443,0.178796875,5713,28,0.0024469107751463,0,0.0049043189473043,0.0004097952311794,0.0835580302958625,0.020310099999989,16.8962018,3575.119872,991.028736,keep,0,0,0.5,0.01,0,0,1,1,246,9.430218488900468e-07,0.021281799999997,46.0077885,3663.200256,991.028736,1958.92224,0.0,0.0,62.94558219999999,cantilever_s41,cantilever_gpu_medium|41|180000
cantilever_gpu_medium,41,0.2,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,12714,0.19865625,5689,57,0.0044832468145351,0,0.0003314881677797,6.749611092905126e-05,0.2036154454052789,0.0202209999999922,18.10861270000001,3663.200256,991.028736,keep,0,0,0.5,0.01,0,0,1,1,122,9.870354536858978e-07,0.0197074000000156,22.372967200000005,3663.200256,991.028736,1958.92224,0.0,0.0,40.52150830000002,cantilever_s41,cantilever_gpu_medium|41|200000
cantilever_gpu_medium,41,0.25,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,15985,0.249765625,5181,132,0.0082577416327807,0,2.28451150789942e-05,7.360719563443578e-07,0.0322201028009338,0.0276129000000082,11.870770200000038,3663.200256,991.028736,keep,0,0,0.5,0.01,0,0,1,1,57,7.360719577401757e-07,0.0321218999999928,12.126094299999975,3663.200256,991.028736,1958.92224,0.0,0.0,24.056599300000016,cantilever_s41,cantilever_gpu_medium|41|250000
