seed,solid_probability,phase,rho_min,iter,rel_residual
41,0.1,probe,1e-12,54,0.5061194902887636
41,0.1,probe,1e-12,55,0.5061176222600453
41,0.1,probe,1e-12,56,0.506117237014629
41,0.1,probe,1e-12,57,0.5061163841229578
41,0.1,probe,1e-12,58,0.5061161417964455
41,0.1,probe,1e-12,59,0.5061161279764645
41,0.1,probe,1e-12,60,0.5061145858094237
41,0.1,probe,1e-12,61,0.506114276094698
41,0.1,probe,1e-12,62,0.5061136694031367
41,0.1,probe,1e-12,63,0.5061002115400957
41,0.1,probe,1e-12,64,0.5060848437215082
41,0.1,probe,1e-12,65,0.5060846235143545
41,0.1,probe,1e-12,66,0.5060707681602076
41,0.1,probe,1e-12,67,0.5060334228736052
41,0.1,probe,1e-12,68,0.5059519028290111
41,0.1,probe,1e-12,69,0.5057981448961864
41,0.1,probe,1e-12,70,0.5053661097201161
41,0.1,probe,1e-12,71,0.5038510841205052
41,0.1,probe,1e-12,72,0.5017944390512467
41,0.1,probe,1e-12,73,0.49696544679266913
41,0.1,probe,1e-12,74,0.4699411291626324
41,0.1,probe,1e-12,75,0.4484222685973018
41,0.1,probe,1e-12,76,0.444658796774224
41,0.1,probe,1e-12,77,0.4442184887749189
41,0.1,probe,1e-12,78,0.4440184012476251
41,0.1,probe,1e-12,79,0.4440183466576382
41,0.1,probe,1e-12,80,0.44400738144100993
41,0.1,probe,1e-12,81,0.44395573755793855
41,0.1,probe,1e-12,82,0.4439545070102182
41,0.1,probe,1e-12,83,0.4439494427899157
41,0.1,probe,1e-12,84,0.4439490303239
41,0.1,probe,1e-12,85,0.44394732371969364
41,0.1,probe,1e-12,86,0.44393930272668175
41,0.1,probe,1e-12,87,0.4439376459102733
41,0.1,probe,1e-12,88,0.44392901549381025
41,0.1,probe,1e-12,89,0.443925779065722
41,0.1,probe,1e-12,90,0.44391770626315913
41,0.1,probe,1e-12,91,0.4439175815158188
41,0.1,probe,1e-12,92,0.4438867908793737
41,0.1,probe,1e-12,93,0.4436860815822166
41,0.1,probe,1e-12,94,0.44179851531469755
41,0.1,probe,1e-12,95,0.43361036599071545
41,0.1,probe,1e-12,96,0.41268873023897723
41,0.1,probe,1e-12,97,0.3990753526920663
41,0.1,probe,1e-12,98,0.39656530613974966
41,0.1,probe,1e-12,99,0.39649221328409184
41,0.1,probe,1e-12,100,0.3964686226877379
41,0.1,recommended_solve,0.001,0,1.0
41,0.1,recommended_solve,0.001,1,0.45787611572912673
41,0.1,recommended_solve,0.001,2,0.37084882354623305
41,0.1,recommended_solve,0.001,3,0.31818047473840166
41,0.1,recommended_solve,0.001,4,0.28259160209296214
41,0.1,recommended_solve,0.001,5,0.2624432536205114
41,0.1,recommended_solve,0.001,6,0.25868942027890485
41,0.1,recommended_solve,0.001,7,0.2580095384357034
41,0.1,recommended_solve,0.001,8,0.25735266073433993
41,0.1,recommended_solve,0.001,9,0.25660359645639186
41,0.1,recommended_solve,0.001,10,0.2559228478485576
41,0.1,recommended_solve,0.001,11,0.2547469503659542
41,0.1,recommended_solve,0.001,12,0.25356174208225674
41,0.1,recommended_solve,0.001,13,0.25223258469132426
41,0.1,recommended_solve,0.001,14,0.25132754129552426
41,0.1,recommended_solve,0.001,15,0.25043443107896485
41,0.1,recommended_solve,0.001,16,0.249296662449966
41,0.1,recommended_solve,0.001,17,0.24808760888257786
41,0.1,recommended_solve,0.001,18,0.24667223456216508
41,0.1,recommended_solve,0.001,19,0.24417279463747196
41,0.1,recommended_solve,0.001,20,0.2414223590988538
41,0.1,recommended_solve,0.001,21,0.23897662751816418
41,0.1,recommended_solve,0.001,22,0.23555537479730665
41,0.1,recommended_solve,0.001,23,0.23067533884135286
